590,Srečanje ljubiteljev Jabolk,,2008-06-09 18:00:00+02,16
1509,They Made Me a Criminal (1939),9,2012-02-02 20:00:00+01,4
422,Pogled nad mesto,,2008-05-15 21:00:00+02,16
960,#155: Spletna analitika: kako in zakaj je uporabiti?,,2010-10-20 19:00:00+02,6
978,#156: Glasba in krasni novi splet,,2010-11-03 19:00:00+01,6
1212,"#157: GIS Cloud: ""Google Dokumenti"" zemljevidov",,2010-11-10 19:00:00+01,6
1215,"#158: Website Flipping – prodaja spletnih projektov, strani in domen",50,2010-11-17 19:00:00+01,6
1226,#159: In browser design - Kaj ko bi namesto slik oblikovali strani?,35,2010-12-01 19:00:00+01,6
1227,#160: Redis,35,2010-12-08 19:00:00+01,6
1244,#163: Meritve in omejitve TV oglaševanja,10,2011-01-26 19:00:00+01,6
1246,#164: Eyetracking in spletne strani,40,2011-02-02 19:00:00+01,6
1250,#165: Sitweet ali kako je iz ovitkov čigumijev nastalo nekaj res spektakularnega,25,2011-02-16 19:00:00+01,6
1253, #166: Twitter bot platforma,17,2011-02-23 19:00:00+01,6
1255,#167: Google App Engine v praksi,18,2011-03-02 19:00:00+01,6
1257,#168: Prihodnost genetike zaradi tehnološkega napredka,15,2011-03-09 19:00:00+01,6
1258,#169: HipsterVision.org ali nespečnost je awesome,20,2011-03-16 19:00:00+01,6
707,16 (Mostly) Difficult Steps to Becoming a Customer Experience-Driven Organization,11,2009-02-11 19:00:00+01,6
88,ŠOU mednarodna pisarna projekcija,0,2006-06-08 19:30:00+02,11
1261,#170: Facebook odprte tehnologije poganjajo oglaševalsko mrežo DoubleRecall,42,2011-03-23 19:00:00+01,6
1264,"#171: S policijo, menihom in kajakom okoli Koreje & Firefox 4 release party",22,2011-04-06 19:00:00+02,6
1266,#172: Kako smo delali Radio KAOS in se ob tem celo smejali,16,2011-04-13 19:00:00+02,6
1267,#173: Slide2.com,12,2011-04-20 19:00:00+02,6
1275,#175: Drupal 7 v praksi,47,2011-05-18 19:00:00+02,6
1422,#177 2/3: I (don't) know what you did this summer [druženje],30,2011-09-07 19:00:00+02,6
715,Google App Engine,30,2009-03-11 19:00:00+01,6
1280,#177: Trafika - vse slovenske revije na enem mestu,24,2011-06-08 19:00:00+02,6
86,ŠOU mednarodna pisarna projekcija,0,2006-05-25 19:30:00+02,11
1425,#178: Silicijeva izkušnja,62,2011-09-14 19:00:00+02,6
1429,#180: Firefox 7 release party @ Zemanta,48,2011-09-28 19:00:00+02,6
1431,#181: Upravljanje z dobrim imenom,32,2011-10-05 19:00:00+02,6
1426,#182: Perl & asihrono kodiranje spletnih aplikacij,28,2011-10-12 19:00:00+02,6
1427,#183: Geek management,43,2011-10-19 19:00:00+02,6
1428,#184: Design and New Media – the Croatian Context (1995 – 2010),25,2011-10-26 19:00:00+02,6
1660,Kreativna šola: projektna asistenca,0,2012-12-20 09:00:00+01,16
1470,#189 Twenity,0,2011-12-14 19:00:00+01,6
1835,[odpade] Kiberknjižnica,0,2013-03-20 17:00:00+01,17
1307,Growth Assembly,27,2010-11-26 17:00:00+01,15
1682,Bitcoin,66,2012-10-09 19:00:00+02,1
1904,Pravna pisarna,0,2013-05-08 11:00:00+02,56
1897,JavaScript meetup (prestavljeno v hekovnik),0,2013-04-30 19:00:00+02,1
543,"Pregled varnosti spletnih aplikacij: XSS, SQLi, Exploits ... (Gorazd Žagar)",25,2008-03-25 19:00:00+01,1
1836,Pravna pisarna FSFE,0,2013-03-27 09:00:00+01,41
748,API Zgodbe,22,2009-05-06 19:00:00+02,6
1760,"Smerokaz: Danijel Mihelj, tehnolog gospodarskih javnih služb",15,2013-01-10 19:00:00+01,49
1661,Kreativna šola: Adobe Photoshop,0,2013-01-10 09:00:00+01,16
1349,Vsaka milisekunda šteje,8,2011-03-15 19:00:00+01,1
133,"Amarok in glasbene zbirke, Andraž Sraka",0,2006-11-28 19:00:00+01,1
